record_id,first_name,surname,full_name,email,address,phone_number,date_of_birth,uk_nino,pan_number,uk_sort_code,uk_account_number,uk_iban,merchant_name,merchant_types,latitude,longitude,is_open,price_level,place_id,data_source,original_record_id
1,Tristan,McDonnell,Tristan McDonnell,james.murray.mp@pearl-investments.com,"1 Overcliffe, Gravesend DA11 0EF, UK",+44 7732733872,23/03/1989,AY 90 96 31 B,342472332403418,63-87-24,36295452,GB67ABCD63872436295452,General Location,point_of_interest|establishment,,,,,,mplist_650,1
2007,Jim,Dickson,Jim Dickson,jim_dickson@zoom.us,"The Square, Stockton-on-Tees TS18 1TE, UK",07632 198 715,1988-12-18,MM890208C,4359 9192 1578 6448,30-82-65,20642203,GB31052870019062465212,The Bridge Coffee House,cafe|restaurant|food|store|point_of_interest|establishment,54.566441,-1.3089484,True,1.0,ChIJSxr8UeSSfkgRIfEPeZ5dbfY,merchant_9056,1357
2008,Emily,Darlington,Emily Darlington,e.darlington@talktalk.net,"Thornaby, Stockton-on-Tees TS17 6BN, UK",020 5135 5758,10 August 1960,RG920665C,5670 3707 0109 5575,39-74-77,27332490,GB53784371171856911781,Pier 22,cafe|restaurant|food|point_of_interest|establishment,54.5572314,-1.3064423,True,1.0,ChIJ29dbyB2TfkgRKfUS_ejaxLY,merchant_9056,1358
2009,Rosena,Allin-Khan,Rosena Allin-Khan,r.allin-khan@splunk.com,"33 Falcon Ct, Stockton-on-Tees TS18 3TS, UK",0174 879 190,03/03/1970,WS239378C,4195 7156 2100 0471,83-47-15,68279023,GB93568590037086146391,Greggs,cafe|restaurant|food|store|point_of_interest|establishment,54.5461847,-1.3205608,True,1.0,ChIJDejwvAiTfkgRdBS963TDp4o,merchant_9056,1359
2010,Sam,Carling,Sam Carling,s.carling@aol.com,"Po Box611, Stockton-on-Tees TS18 4WZ, United Kingdom",0132 322 582,21-11-1999,SS231470A,4056 2926 6923 6201,39-47-28,23653605,GB42876302986281180319,Ropner Park Cafe,cafe|food|point_of_interest|establishment,54.5582045,-1.3319588,True,,ChIJIS4sqeSSfkgRXjmL26cKh-Q,merchant_9056,1360
2011,Brendan,O'Hara,Brendan O'Hara,brendan705@zoom.us,"Great Missenden HP16 0HH, UK",0134 473 704,29-05-1950,OX263747B,5919 8781 3391 7232,80-76-30,96314291,GB38927541387055440547,Wild Strawberry Cafe,cafe|food|point_of_interest|establishment,51.686067,-0.724636,True,,ChIJ-zI5VddfdkgRw85cEh0OPLk,merchant_9056,1361
2012,Rushanara,Ali,Rushanara Ali,rushanaraali@intel.com,"Lower Shop, Market Hill, Buckingham MK18 1JN, UK",020 5832 2847,03 June 1959,ZB702499A,5071 7878 9675 3600,45-50-48,55880555,GB73942753737326953724,Buckingham Tea Room,restaurant|cafe|food|point_of_interest|establishment,52.0005713,-0.9868556,True,,ChIJM8QrH77idkgRk8lb3zDKTsY,merchant_9056,1362
2013,Julie,Minns,Julie Minns,julie281@oracle.com,"Aylesbury HP17 9UG, UK",+44 7840 223 267,13 July 1956,YN143692A,4258 5340 2970 8953,74-87-70,12962304,GB65401374896782637692,Orchard View Farm,cafe|food|store|point_of_interest|establishment,51.753622,-0.855238,True,,ChIJQVzLPA_0dkgRtBSvUEyOfIk,merchant_9056,1363
2014,Luke,Pollard,Luke Pollard,luke.pollard@microsoft.com,"Oxford Rd, Stone, Aylesbury HP17 8NR, UK",07438 837 685,30-07-1988,EY044794A,5515 9490 6035 6270,59-19-12,98153460,GB56009171953728177408,"Hartwell House Hotel, Restaurant & Spa",spa|cafe|restaurant|food|lodging|point_of_interest|establishment,51.8051238,-0.846607,True,,ChIJmdX7M9j2dkgRWYgwGLglOAM,merchant_9056,1364
2015,Alison,Griffiths,Alison Griffiths,alison572@digitalocean.com,"Francis Yard, East St, Chesham HP5 1DG, UK",0170 691 552,13-06-1970,CE545164B,3498 288367 00974,23-80-80,65715738,GB80287571988723075578,The Drawingroom,art_gallery|bar|cafe|restaurant|food|store|point_of_interest|establishment,51.704208,-0.612831,True,2.0,ChIJB5auQgtddkgRbiBHo7032Bg,merchant_9056,1365
2016,Damien,Egan,Damien Egan,egand@atlassian.com,"24 High St, Chesham HP5 1EP, UK",07488 424 980,1983-06-06,EJ009322A,5620 6672 9836 1941,13-33-74,99538783,GB99296380264928031512,"Thé, Stay and Play",cafe|restaurant|food|point_of_interest|establishment,51.7048856,-0.6130365,True,,ChIJEWwobgtddkgRjaowOoJi_d8,merchant_9056,1366
2017,Liz,Saville Roberts,Liz Saville Roberts,l.saville roberts@o2.co.uk,"4 Stanbridge Rd, Haddenham, Aylesbury HP17 8JX, UK",0192 901 638,04 July 1951,SH925783D,4812 3053 2526 0011,79-91-23,34848676,GB41073888012212436521,Bradmoor Farm,restaurant|cafe|food|store|point_of_interest|establishment,51.7774975,-0.9212013,True,2.0,ChIJ8zK1-pDxdkgRc6fKatm7L-M,merchant_9056,1367
2018,Rachel,Blake,Rachel Blake,rachel.blake@protonmail.com,"5 Liston Ct, Marlow SL7 1ER, UK",+44 7921 754 379,05-05-1968,BP009911D,4808 5111 5041 2250,19-24-31,77600410,GB68508267039097380799,Satollo,bar|cafe|restaurant|food|store|point_of_interest|establishment,51.571429,-0.7758751,True,2.0,ChIJJTCq4cOJdkgRKp4KUNdyqDE,merchant_9056,1368
2019,Sorcha,Eastwood,Sorcha Eastwood,sorcha292@gmx.com,"7-9 Market Square, Aylesbury HP20 1TA, UK",020 9074 2760,25/07/1986,BL514146A,5610 9583 4835 9127,52-39-63,34812629,GB48799052334750917835,The Works,restaurant|cafe|food|store|point_of_interest|establishment,51.816539,-0.813145,True,2.0,ChIJTSx7iwf3dkgR2vbh97JEPOk,merchant_9056,1369
2020,Keir,Mather,Keir Mather,keirmather@gitpod.io,"6 Burkes Rd, Station Rd, Beaconsfield HP9 1NN, UK",+44 7961 376 963,1948-02-06,WN881185C,5170 7757 6627 1061,14-46-32,14428890,GB41073538682815978007,The Cape,restaurant|bakery|cafe|food|store|point_of_interest|establishment,51.610992,-0.646253,True,2.0,ChIJ2So4gbtmdkgRyHGY19Lc_x8,merchant_9056,1370
2021,Munira,Wilson,Munira Wilson,munira873@firebase.google.com,"The Causeway, Marlow SL7 1NF, UK",+44 7219 539 719,04/10/1945,WN347550D,5444 3944 6926 6263,86-54-22,88533361,GB99813833494155299277,Burgers of Marlow,bakery|cafe|food|store|point_of_interest|establishment,51.5692332,-0.7740916,True,2.0,ChIJ8xoMacSJdkgRfIpsEZvnQSw,merchant_9056,1371
2022,Gregor,Poynton,Gregor Poynton,g.poynton@kubernetes.io,"Newlands Meadow, 46-47, Eden Centre, High Wycombe HP11 2DQ, United Kingdom",07294 478 646,24 September 1987,ER001311B,3787 187978 92930,83-17-67,73344698,GB28584009062509466605,Patisserie Valerie - High Wycombe,cafe|bakery|restaurant|food|store|point_of_interest|establishment,51.6293259,-0.7553386,True,2.0,ChIJGf1JBtdhdkgRIX4N1b_fZzo,merchant_9056,1372
2023,Ben,Maguire,Ben Maguire,ben427@gmail.com,"7 Nightingales Corner, Little Chalfont, Amersham HP7 9PZ, UK",07923 286 934,1970-06-10,HX897378C,4041 9024 1617 7237,82-91-66,40747206,GB14905330192518647048,Koho Coffee,cafe|food|store|point_of_interest|establishment,51.6668552,-0.5655817,True,2.0,ChIJVersewlodkgRo8Md1YXd-sQ,merchant_9056,1373
2024,Stella,Creasy,Stella Creasy,stella_creasy@airbnb.com,"8 Cambridge St, Aylesbury HP20 1RS, UK",07274 309 184,14 August 1962,ML715650B,5500 7488 3826 8201,28-14-28,24432795,GB50262076795757186972,Tilly's,cafe|food|point_of_interest|establishment,51.8172887,-0.8122702,True,1.0,ChIJ93CVD6j3dkgRKEVHj71LgFo,merchant_9056,1374
2025,Jo,Platt,Jo Platt,jo.platt@airbnb.com,"54-55 The Green, Wooburn Green, High Wycombe HP10 0EU, UK",+44 7969 709 577,13 May 1962,NX794923A,3711 081783 13571,89-17-85,36455172,GB98661765881883760617,Perkys Coffee House,cafe|food|store|point_of_interest|establishment,51.5887167,-0.6837661,True,1.0,ChIJVd_jUeZjdkgR6oHHE7tkPds,merchant_9056,1375
2026,Stella,Creasy,Stella Creasy,stella_creasy@zoho.com,"Chesham Lane, Chalfont St Peter SL9 0RJ, United Kingdom",0198 156 561,1969-02-18,YJ917826C,4444 3402 8855 9910,75-68-67,24529924,GB72566357903818683200,Epilepsy Society Coffee Shop,cafe|food|store|point_of_interest|establishment,51.621559,-0.551409,True,1.0,ChIJ43qqYpZodkgRJkpZhBKufNc,merchant_9056,1376
2027,Amanda,Hack,Amanda Hack,hacka@docker.com,"15 The Broadway, Amersham HP7 0HL, UK",020 7435 6389,2006-02-20,KT011269B,3722 497619 34877,92-97-58,15855831,GB22310986245311571826,The Grocer at 15,cafe|food|store|point_of_interest|establishment,51.66598,-0.613971,True,2.0,ChIJxaeF151ndkgR0E-3ya0VNvU,merchant_9056,1377
2028,Karl,Turner,Karl Turner,karlturner@cisco.com,"6 Market Square, Amersham HP7 0DQ, UK",+44 7219 808 109,1973-02-05,RS656584A,5910 3749 7364 5671,30-20-99,31716547,GB48987641557213191396,Seasons Cafe Deli,grocery_or_supermarket|cafe|restaurant|food|store|point_of_interest|establishment,51.6662797,-0.6161548,True,2.0,ChIJO_OW5J1ndkgRhInvpBXYsqk,merchant_9056,1378
2029,Sorcha,Eastwood,Sorcha Eastwood,sorchaeastwood@databricks.com,"25 High St, Wendover, Aylesbury HP22 6DX, UK",07272 906 918,08-11-1979,YT672207A,3435 033668 94949,28-73-81,37591635,GB64774473245719554968,Lady Grey Tea Room,cafe|food|point_of_interest|establishment,51.7619318,-0.7433179,True,2.0,ChIJCfe7u0tfdkgR4RhoWAMYy6U,merchant_9056,1379
2030,Kieran,Mullan,Kieran Mullan,kieranmullan@amazon.com,"Aylesbury Rd, Princes Risborough HP27 9LY, UK",+44 7803 511 143,11/06/1963,HY177171D,3744 283963 24700,49-31-84,98309998,GB57547120073168080682,The Potting Shed Askett,cafe|food|store|point_of_interest|establishment,51.7401903,-0.8127844,True,2.0,ChIJ4yTFc0v0dkgRN1SfIInhX2c,merchant_9056,1380
2031,David,Smith,David Smith,davidsmith@google.com,"Chapel Rd, Six Bells, Abertillery NP13 2ND, UK",+44 7753 548 501,26 November 1992,NJ299983A,3759 905884 19482,45-63-47,25473603,GB18880346700616938473,Tŷ Ebbw Fach Cafe,museum|cafe|restaurant|food|store|point_of_interest|establishment,51.7210002,-3.1293527,False,1.0,ChIJ14sOIKwgbkgRHGgldlhJ8VM,merchant_9056,1381
2032,Shivani,Raja,Shivani Raja,shivani.raja@tableau.com,"Unit 6, Bridge St Industrial Estate, Iron Row, Tredegar NP22 4LA, UK",+44 7351 610 969,07 January 1946,HC850822D,4340 5464 9859 0175,31-49-17,11055199,GB19755049357814127701,Molly's Cafe,cafe|food|point_of_interest|establishment,51.7717999,-3.2422785,True,1.0,ChIJQYeVFc4lbkgRdiX8WonE5_A,merchant_9056,1382
2033,Uma,Kumaran,Uma Kumaran,uma_kumaran@figma.com,"35 Bethcar St, Ebbw Vale NP23 6HW, UK",020 4171 9533,23-05-1979,XK929123A,3487 400743 26284,37-31-38,98651651,GB72603567294424722264,Caffe Sidoli’s,cafe|food|store|point_of_interest|establishment,51.7784295,-3.2080347,True,,ChIJdSeCvmgmbkgRU22g6Fwkd-s,merchant_9056,1383
2034,Chris,Webb,Chris Webb,chris153@mongodb.com,"Unit 54A, Green St, Victoria, Ebbw Vale NP23 8FP, UK",020 5013 4592,12-06-1966,HR032227C,5758 3441 7309 8181,83-28-46,98520361,GB28412963597522883209,Costa Coffee,cafe|food|store|point_of_interest|establishment,51.7474116,-3.1951657,True,2.0,ChIJpVkMR-ombkgR2H5KPst8nQc,merchant_9056,1384
2035,Ed,Davey,Ed Davey,e.davey@freeserve.co.uk,"85 Bailey St, Brynmawr, Ebbw Vale NP23 4AW, UK",0189 660 136,09/05/2001,ZH936778C,4554 9444 4297 3726,81-34-30,41022382,GB36483375573785139311,The Homestead,cafe|food|point_of_interest|establishment,51.798116,-3.1746249,True,1.0,ChIJ0wvB680nbkgRxqC2fsgOsRs,merchant_9056,1385
2036,Zarah,Sultana,Zarah Sultana,zarahsultana@dropbox.com,"18 Market Square, Brynmawr, Ebbw Vale NP23 4AJ, UK",07248 980 530,1962-11-17,PR757057A,5591 8333 3562 5501,36-52-80,50947777,GB24034113732022017382,The Filling Station Cafe - Brynmawr,cafe|food|point_of_interest|establishment,51.7974431,-3.1749737,True,,ChIJwX77ws0nbkgR4KhTra52UJI,merchant_9056,1386
2037,Clive,Efford,Clive Efford,c.efford@btinternet.com,"17 Market St, Ebbw Vale NP23 6HL, UK",07918 506 651,07 July 1972,RK070996C,3739 987568 19299,52-83-20,21598010,GB12298493835093275329,The Crossing Cafe,cafe|food|point_of_interest|establishment,51.7799472,-3.2072967,True,,ChIJzXqiA2kmbkgRVs-GgdeP7cs,merchant_9056,1387
2038,Gareth,Snell,Gareth Snell,gareth398@stackblitz.com,"9 Castle St, Tredegar NP22 3DE, UK",0174 862 505,19-09-1958,BC306533B,4911 8664 1151 6446,52-87-28,35753127,GB89659782690080047032,Morgan's Eatery & Coffee Shop,cafe|food|store|point_of_interest|establishment,51.771956,-3.2459839,True,1.0,ChIJWf4HyM4lbkgRKY6F7qaIIZ4,merchant_9056,1388
2039,Taiwo,Owatemi,Taiwo Owatemi,taiwo.owatemi@plusnet.com,"21 Church St, Abertillery NP13 1DB, UK",07947 640 616,1998-04-06,JZ134973A,4388 8931 2904 4282,40-63-25,67896256,GB14109728938212101510,Coffee Bean,cafe|food|store|point_of_interest|establishment,51.731573,-3.1341106,True,1.0,ChIJvegB-lEnbkgRGgTNe3_93zI,merchant_9056,1389
2040,Andrew,Gwynne,Andrew Gwynne,andrew.gwynne@shopify.com,"29 Commercial St, Tredegar NP22 3DH, UK",+44 7927 627 409,19 January 1984,AM209776D,3410 094531 94223,59-51-40,32069916,GB70147250762332750944,Refresh,restaurant|meal_takeaway|cafe|food|store|point_of_interest|establishment,51.7746065,-3.2463872,True,1.0,ChIJ37rhR88lbkgR0cQjsy9hDbE,merchant_9056,1390
2041,Mohammad,Yasin,Mohammad Yasin,mohammad_yasin@invision.com,"Rising Sun Industrial Estate, A467, Blaina, Abertillery NP13 3JW, UK",020 2362 9119,1998-10-05,YJ601616D,3730 737225 75848,40-61-36,90492899,GB25701389881029578822,Sunrise Cafe,cafe|food|point_of_interest|establishment,51.7719072,-3.1654277,True,1.0,ChIJV2SPr6gnbkgRnoIPRKSHp8k,merchant_9056,1391
2042,Edward,Leigh,Edward Leigh,edwardleigh@railway.app,"Morgan St, Tredegar NP22 3XN, UK",0177 539 239,1960-04-18,GG342264A,4442 3056 6577 6061,90-91-29,57937615,GB25743421084398893903,Bedwellty House and Park,cafe|food|point_of_interest|establishment,51.7687974,-3.243077,True,2.0,ChIJ4-EKL8wlbkgR61Gxm_Z2yMY,merchant_9056,1392
2043,Laura,Trott,Laura Trott,l.trott@replit.com,"25 Beaufort St, Brynmawr, Ebbw Vale NP23 4AQ, UK",+44 7367 499 542,24/11/1980,GR874851A,5612 4768 5976 6469,30-65-57,90266376,GB96028277469482545763,The Lounge,cafe|food|point_of_interest|establishment,51.7985549,-3.1751779,True,1.0,ChIJUTNU8c0nbkgR9I8qZn8znfw,merchant_9056,1393
2044,Chris,Philp,Chris Philp,c.philp@netflix.com,"Ebbw Vale NP23 8FP, UK",020 1669 1783,18-02-1953,TR835281B,5420 4653 5217 0572,58-73-68,86817627,GB80300203043307790012,Café Nova,cafe|food|store|point_of_interest|establishment,51.7486206,-3.1961921,True,2.0,ChIJQ6H1rusmbkgRQBNH6XkLYRw,merchant_9056,1394
2045,Gurinder Singh,Josan,Gurinder Singh Josan,gurinder singh_josan@mail.com,"30 Beaufort St, Brynmawr, Ebbw Vale NP23 4AB, UK",020 3957 5032,1979-12-01,BZ955506B,5810 6319 8544 8066,67-58-44,68105476,GB27906516512654737042,Greggs,bakery|cafe|restaurant|food|store|point_of_interest|establishment,51.7984522,-3.1752545,True,1.0,ChIJKW3M8c0nbkgRG_a-dSUFnXk,merchant_9056,1395
2046,Alberto,Costa,Alberto Costa,alberto.costa@miro.com,"Merthyr Rd, Blaenau Gwent NP22 3AY, UK",0125 472 247,28 September 1961,SX700098C,5069 3576 3381 2354,92-34-93,38744802,GB65062037602070737366,Parc Bryn Bach,park|cafe|food|point_of_interest|establishment,51.7825237,-3.2673809,True,,ChIJH0Wmm6IlbkgRN4sLUAmmvWE,merchant_9056,1396
2047,Paul,Waugh,Paul Waugh,paulwaugh@palantir.com,"19-21 Market St, Ebbw Vale NP23 6HL, UK",07544 954 723,13 June 1989,RA790466A,4593 1994 9344 9916,20-56-89,15858236,GB33879826225557419450,Greggs,cafe|restaurant|food|store|point_of_interest|establishment,51.7794784,-3.207324,True,1.0,ChIJzXqiA2kmbkgRuhBS0zH1Gr0,merchant_9056,1397
2048,Andrew,Ranger,Andrew Ranger,andrew649@snowflake.com,"15 Fern Cl, Newport NP11 3EH, UK",07544 493 125,05 July 1961,KL091616B,4336 3452 8043 3264,45-44-57,78544556,GB22649461528681591567,Marmajos,cafe|food|point_of_interest|establishment,51.687138,-3.1614687,True,,ChIJbwmWSvkgbkgRKdre-knygNs,merchant_9056,1398
2049,Gavin,Williamson,Gavin Williamson,gavin.williamson@salesforce.com,"Chapel Rd, Six Bells, Abertillery NP13 2ND, UK",+44 7807 946 701,18/11/1962,SA608125D,4029 8224 8971 4706,72-54-87,62687979,GB52000219797647048601,Ty Ebbw Fach,cafe|real_estate_agency|museum|food|point_of_interest|establishment,51.7210425,-3.1294813,True,,ChIJ0c8NIKwgbkgRwbLKYRtBKho,merchant_9056,1399
2050,Steve,Witherden,Steve Witherden,s.witherden@slack.com,"Market St, Ebbw Vale NP23 6HP, UK",07245 417 546,23-09-1973,NS951251D,4261 4228 4746 9785,25-36-64,80807776,GB19948044635800272917,Box Cafe,cafe|food|point_of_interest|establishment,51.7804178,-3.2075431,True,1.0,ChIJC2rREWkmbkgRNYlQH0_avl8,merchant_9056,1400
2051,Geoffrey,Clifton-Brown,Geoffrey Clifton-Brown,geoffrey.clifton-brown@fastmail.com,"1 High St, Chewton Mendip, Radstock BA3 4LJ, UK",07237 211 284,25/03/1987,OX884193D,3463 134946 07818,30-89-53,27182456,GB23938522293114231154,"Moondance Cafe, Deli and Catering",cafe|bakery|food|store|point_of_interest|establishment,51.2762663,-2.5778056,True,,ChIJr-qTcSsnckgRmgqH7ePa7Zw,merchant_9056,1401
2052,Paul,Kohler,Paul Kohler,paul838@mongodb.com,"Cheddar Gorge Lookout Tower, The Cliffs, Cheddar Gorge BS27 3QE, UK",+44 7745 846 992,28/10/2001,LZ883120D,3453 954328 45129,95-82-36,81906564,GB68884310749148764273,Cafe Gorge,cafe|food|point_of_interest|establishment,51.281817,-2.766622,True,2.0,ChIJ6-IYgXkeckgRJX8ExJApa1k,merchant_9056,1402
2053,Baggy,Shanker,Baggy Shanker,baggy.shanker@gmail.com,"31 St Cuthbert St, Wells BA5 2AW, UK",020 1854 2660,29 December 1981,BS983292C,4162 8016 8073 2819,69-56-90,96658783,GB92077218890665056553,Strangers with Coffee,cafe|food|store|point_of_interest|establishment,51.2079761,-2.6510606,True,,ChIJp32O6WsickgR2xKHjydv_pk,merchant_9056,1403
2054,Alistair,Strathern,Alistair Strathern,alistair.strathern@facebook.com,"80, Clarks Factory Village, Farm Rd, Street BA16 0BB, UK",07917 253 545,04 March 1992,CS172775B,3743 161186 98142,93-24-74,59675102,GB83293004492294689761,Caffè Nero,cafe|food|store|point_of_interest|establishment,51.1273051,-2.7412168,True,2.0,ChIJqax28UAXckgR1FOKPzPRZZ0,merchant_9056,1404
2055,Peter,Dowd,Peter Dowd,p.dowd@atlassian.com,"53 High St, Wells BA5 2AE, UK",07219 648 481,30/03/1977,BC092073D,3765 571955 72903,43-18-93,40825664,GB79651767372725906359,Coffee#1 Wells,cafe|food|store|point_of_interest|establishment,51.2082905,-2.6478071,True,2.0,ChIJnZABE2oickgRy5T6LQFuUeM,merchant_9056,1405
2056,Melanie,Ward,Melanie Ward,melanie.ward@fly.io,"23 High St, Bruton BA10 0AH, UK",020 2921 6895,07/10/1950,AE299824D,4110 3580 7710 9120,97-42-53,87894965,GB39879596384535468196,Cat's Cafe,cafe|restaurant|food|point_of_interest|establishment,51.1121209,-2.4547409,True,1.0,ChIJyfUfVX0wckgRlmfERnVHilU,merchant_9056,1406
2057,Sojan,Joseph,Sojan Joseph,sojanjoseph@dropbox.com,"Manor Farm, Coach Ln, Chilcompton, Radstock BA3 4HP, United Kingdom",07109 295 988,27-11-1975,PJ757081C,4778 3368 2614 4645,56-67-54,39817504,GB18002668974275714891,The Holy Cow Cafe,cafe|food|point_of_interest|establishment,51.2709181,-2.5076228,True,2.0,ChIJXxDuTUgmckgRN6LJWWfrYyY,merchant_9056,1407
2058,Paul,Maskey,Paul Maskey,paul_maskey@ee.co.uk,"17A High St, Glastonbury BA6 9DP, UK",020 2600 7642,12-03-1969,ZW944740A,3786 684927 25452,77-34-29,46826942,GB13230891229439715010,Rainbows End Cafe,cafe|restaurant|food|point_of_interest|establishment,51.1478539,-2.7169251,True,,ChIJkfUF1X8XckgRvdKkWwGPI5M,merchant_9056,1408
2059,Lee,Dillon,Lee Dillon,dillonl@talktalk.net,"52 High St, Glastonbury BA6 9DY, UK",020 5890 2902,17-09-1966,YB094017D,3791 928324 95110,85-64-99,70591477,GB13249116993478776297,Hundred Monkeys Cafe,cafe|bakery|restaurant|food|store|point_of_interest|establishment,51.1478637,-2.7147086,True,2.0,ChIJrTkk_X8XckgRhQJFXGcsaIg,merchant_9056,1409
2060,Gareth,Snell,Gareth Snell,g.snell@google.com,"28 High St, Wells BA5 2SG, UK",+44 7721 313 102,31 December 1992,GE782192D,3406 846428 73457,59-34-96,59027111,GB75731113549258674564,Caffè Nero,cafe|food|store|point_of_interest|establishment,51.2087673,-2.6471111,True,2.0,ChIJRdwQcmoickgRsnXh35hlgng,merchant_9056,1410
2061,Gill,German,Gill German,gill.german@oracle.com,"84 High St, Wells BA5 2AJ, UK",020 3686 9788,1953-03-24,PC368233B,3446 084674 07248,15-23-75,74117919,GB89997179084815277115,Andre's Cafe,cafe|food|point_of_interest|establishment,51.2081112,-2.649504,True,2.0,ChIJw3pFNmoickgROv5xCa5oJRw,merchant_9056,1411
2062,Simon,Opher,Simon Opher,simonopher@codespaces.github.com,"Hallatrow Business Park, Wells Rd, White Cross, Hallatrow, High Littleton, Bristol BS39 6EX, UK",+44 7429 819 114,29-05-1977,RC320406B,4362 8197 9911 1307,39-63-59,22087279,GB86671979697816266714,The Full Stop Café,cafe|food|point_of_interest|establishment,51.3097368,-2.5311523,True,,ChIJWYNczIInckgRVbx5wugW9u4,merchant_9056,1412
2063,Helen,Hayes,Helen Hayes,helen444@tutanota.com,"15-16 Westway Centre, Frome BA11 1BS, UK",020 7668 6956,21 March 1985,BB732127A,3415 197096 27316,70-36-42,86162089,GB89284267861784054851,Coffee Frome,cafe|food|store|point_of_interest|establishment,51.2318967,-2.3217154,True,2.0,ChIJ1woat7QtckgRAT8Hys86mnQ,merchant_9056,1413
2064,Margaret,Mullane,Margaret Mullane,m.mullane@btinternet.com,"Top Shop, High St, Wookey, Wells BA5 1JZ, UK",07229 854 486,30 July 1980,KW014498D,5589 2781 2598 3399,19-85-72,99311222,GB84368642151126109128,Wookey Hub,convenience_store|cafe|food|store|point_of_interest|establishment,51.209966,-2.691206,True,1.0,ChIJvRHnbGoickgRfincaFPJJVE,merchant_9056,1414
2065,Jeevun,Sandher,Jeevun Sandher,j.sandher@codesandbox.io,"The Cliffs, Cheddar BS27 3QE, UK",+44 7422 486 774,16-08-1969,ZZ837673B,5266 7730 1423 5279,96-44-40,47934519,GB14716276647848605641,Lion Rock Tea Rooms,cafe|restaurant|food|point_of_interest|establishment,51.2819556,-2.766634,True,2.0,ChIJM5J_jnoeckgRepLb9kyugQs,merchant_9056,1415
2066,Jamie,Stone,Jamie Stone,stonej@lineone.net,"16 Magdalene St, Glastonbury BA6 9EH, UK",07510 511 502,08/09/1998,GW294513C,5990 1480 6810 6595,97-10-36,96111341,GB61326237505432260278,Abbey Tea Rooms & Restaurant,cafe|restaurant|food|store|point_of_interest|establishment,51.146485,-2.717889,True,2.0,ChIJx01TRn4XckgRK_IciSFcg0k,merchant_9056,1416
2067,Pat,McFadden,Pat McFadden,p.mcfadden@facebook.com,"8 Magdalene St, Glastonbury BA6 9EH, UK",020 5640 1911,08-04-1971,SN945870B,4710 5640 0674 1586,73-88-50,27596534,GB46087415507576449639,Lazy Gecko Cafe,cafe|food|point_of_interest|establishment,51.1467285,-2.7180148,True,2.0,ChIJ7YdYOH4XckgRZ1tM9mRLuuM,merchant_9056,1417
2068,Chris,Webb,Chris Webb,chris_webb@three.co.uk,"Whittox Ln, Frome BA11 3BY, UK",07683 503 418,1957-01-07,BM365451A,3700 222656 79926,58-27-48,40783501,GB45178148089658614692,Rye Bakery,cafe|bakery|restaurant|food|store|point_of_interest|establishment,51.2317589,-2.3240473,True,2.0,ChIJwwfW0YUsckgRb230sR958dk,merchant_9056,1418
2069,John,Grady,John Grady,john.grady@supabase.io,"13 Cheap St, Frome BA11 1BN, UK",07968 696 327,23 May 2001,XT574122D,5044 4718 6941 3904,14-79-16,78116302,GB62283557142709319121,Cafe La Strada,cafe|food|store|point_of_interest|establishment,51.2304106,-2.3207518,True,2.0,ChIJF30bcoUsckgRs2lYfwfYGhc,merchant_9056,1419
2070,Emma,Lewell,Emma Lewell,lewelle@talktalk.net,"Unit 1&2, The Hollies, High St, Midsomer Norton, Radstock BA3 2DT, UK",0139 443 319,03-07-1988,ME266620D,3766 090288 54111,25-91-26,13867080,GB21502615542771410452,Costa Coffee,cafe|food|store|point_of_interest|establishment,51.2864636,-2.4825579,True,2.0,ChIJ1z_2K9YnckgRluZ1ikIEH84,merchant_9056,1420
2071,Steve,Reed,Steve Reed,s.reed@snowflake.com,"21A Elvet Bridge, Durham DH1 3AA, UK",+44 7397 848 542,18/03/1980,ZA495260C,3485 464137 28112,31-36-19,50660269,GB43886366802955485997,Flat White Cafe,cafe|food|store|point_of_interest|establishment,54.7760393,-1.5744305,True,2.0,ChIJA12yH4p9fkgRzLC8ZmKCK4A,merchant_9056,1421
2072,Emma,Reynolds,Emma Reynolds,emmareynolds@cisco.com,"Saddlers Yard, 71 Saddler St, Durham DH1 3NP, UK",+44 7454 995 925,18 August 1997,BB562844B,4811 6096 2939 5613,58-21-51,23726577,GB11037492120969860077,Vennels Café,cafe|food|store|point_of_interest|establishment,54.7764037,-1.5754737,True,2.0,ChIJDb1IPYp9fkgRMFag0VwMgDM,merchant_9056,1422
2073,Lee,Dillon,Lee Dillon,l.dillon@render.com,"Owengate, Durham DH1 3HB, UK",07470 470 905,2006-06-16,PG394764D,3445 785909 51980,85-50-86,93081731,GB17560326625103153087,Cafédral Durham,cafe|food|point_of_interest|establishment,54.7753795,-1.574751,True,2.0,ChIJh3KKBop9fkgRFMYflg_FGWI,merchant_9056,1423
2074,Graeme,Downie,Graeme Downie,graemedownie@sketch.com,"1 Back Silver St, Fowler's Yard, Durham DH1 3RA, UK",020 1012 3657,08 July 1964,TW696887A,5108 0910 7299 6722,46-77-53,57148000,GB24570343491710035705,Leonard's Coffee House,cafe|bakery|restaurant|food|store|point_of_interest|establishment,54.776929,-1.576887,True,2.0,ChIJ-RvHWop9fkgRzXaBCgJF7ec,merchant_9056,1424
